school,district,ncesid,title_1_school_status,lat,long,total_enroll,bipoc_enroll,bipoc_pct,white_enroll
NEW DOMINION ACADEMY,AUSTIN PUBLIC SCHOOL DISTRICT,2703450,5-Title I schoolwide school,43.677081,-92.932059,80,32,0.4,48
NEW HEIGHTS ELEMENTARY,EAST GRAND FORKS PUBLIC SCHOOL DIST,2711130,5-Title I schoolwide school,47.9394,-97.0289,482,138,0.2863070539419087,344
NEW HEIGHTS SCHOOL INC.,NEW HEIGHTS SCHOOL INC.,2723380,5-Title I schoolwide school,45.0579,-92.8162,104,28,0.2692307692307692,76
NEW LONDON-SPICER MIDDLE,NEW LONDON-SPICER SCHOOL DISTRICT,2723400,2-Title I targeted assistance school,45.293417,-94.945119,505,48,0.09504950495049505,457
NEW LONDON-SPICER SR.,NEW LONDON-SPICER SCHOOL DISTRICT,2723400,2-Title I targeted assistance school,45.293417,-94.945119,449,31,0.06904231625835189,418
NEW MILLENIUM ACADEMY CHARTER SCH,NEW MILLENNIUM ACADEMY CHARTER SCH,2700253,5-Title I schoolwide school,45.048127,-93.323252,778,774,0.9948586118251928,4
NEW PATHS ALTERNATIVE LEARNING PRGM,CROOKSTON PUBLIC SCHOOL DISTRICT,2709720,2-Title I targeted assistance school,47.77434,-96.607551,56,33,0.5892857142857143,23
NEW PRAGUE MIDDLE SCHOOL,NEW PRAGUE AREA SCHOOLS,2723430,2-Title I targeted assistance school,44.5499,-93.5768,993,78,0.07854984894259819,915
NEW PRAGUE SENIOR HIGH,NEW PRAGUE AREA SCHOOLS,2723430,2-Title I targeted assistance school,44.5597,-93.5762,1309,67,0.05118411000763942,1242
NEW ULM HIGH SCHOOL,NEW ULM PUBLIC SCHOOL DISTRICT,2723490,2-Title I targeted assistance school,44.314648,-94.488416,623,40,0.06420545746388442,583
NEW ULM MIDDLE SCHOOL,NEW ULM PUBLIC SCHOOL DISTRICT,2723490,2-Title I targeted assistance school,44.304002,-94.464152,686,65,0.09475218658892129,621
NEW YORK MILLS ELEMENTARY,NEW YORK MILLS PUBLIC SCHOOL DIST.,2723520,5-Title I schoolwide school,46.5218,-95.3787,445,18,0.04044943820224719,427
NEW YORK MILLS SECONDARY,NEW YORK MILLS PUBLIC SCHOOL DIST.,2723520,5-Title I schoolwide school,46.5227,-95.3782,338,25,0.07396449704142012,313
NEWFOLDEN ELEMENTARY,MARSHALL COUNTY CENTRAL SCHOOLS,2723550,2-Title I targeted assistance school,48.3562,-96.3328,153,5,0.032679738562091505,148
NEWPORT ELEMENTARY,SOUTH WASHINGTON COUNTY SCHOOL DIST,2733810,2-Title I targeted assistance school,44.863281,-93.001625,305,148,0.4852459016393443,157
NEXT STEP TRANSITION PROGRAM,SOUTH WASHINGTON COUNTY SCHOOL DIST,2733810,2-Title I targeted assistance school,44.832417,-92.961727,81,27,0.3333333333333333,54
NICOLLET ELEMENTARY SCHOOL,NICOLLET PUBLIC SCHOOL DISTRICT,2723580,2-Title I targeted assistance school,44.281209,-94.186703,129,16,0.12403100775193798,113
NICOLLET MIDDLE SCHOOL,NICOLLET PUBLIC SCHOOL DISTRICT,2723580,2-Title I targeted assistance school,44.281209,-94.186703,124,12,0.0967741935483871,112
NICOLLET SENIOR HIGH SCHOOL,NICOLLET PUBLIC SCHOOL DISTRICT,2723580,2-Title I targeted assistance school,44.281209,-94.186703,123,12,0.0975609756097561,111
NISSWA ELEMENTARY,BRAINERD PUBLIC SCHOOL DISTRICT,2706090,5-Title I schoolwide school,46.52072,-94.286238,270,21,0.07777777777777778,249
NOBLE ACADEMY,NOBLE ACADEMY,2700295,5-Title I schoolwide school,45.126681,-93.400663,613,613,1,0
NOBLE ELEMENTARY,ROBBINSDALE PUBLIC SCHOOL DISTRICT,2731780,5-Title I schoolwide school,45.005925,-93.339921,345,261,0.7565217391304347,84
NOKOMIS MONTESSORI NORTH CAMPUS,ST. PAUL PUBLIC SCHOOL DISTRICT,2733840,5-Title I schoolwide school,44.970867,-93.015706,356,283,0.7949438202247191,73
NOKOMIS MONTESSORI SOUTH CAMPUS,ST. PAUL PUBLIC SCHOOL DISTRICT,2733840,5-Title I schoolwide school,44.957276,-93.02588,252,179,0.7103174603174603,73
NOMPENG ACADEMY,NOBLE ACADEMY,2700295,5-Title I schoolwide school,45.06704,-93.340831,347,346,0.9971181556195965,1
NORMAN COUNTY EAST ELEMENTARY,NORMAN COUNTY EAST SCHOOL DISTRICT,2700101,5-Title I schoolwide school,47.26132,-96.264528,126,27,0.21428571428571427,99
NORMAN COUNTY EAST SECONDARY,NORMAN COUNTY EAST SCHOOL DISTRICT,2700101,5-Title I schoolwide school,47.26132,-96.264528,130,24,0.18461538461538463,106
NORMAN COUNTY WEST ELEMENTARY,NORMAN COUNTY WEST SCHOOL DISTRICT,2791448,2-Title I targeted assistance school,47.2648,-96.8078,67,14,0.208955223880597,53
NORMANDALE ELEMENTARY,EDINA PUBLIC SCHOOL DISTRICT,2711250,2-Title I targeted assistance school,44.8993,-93.3489,645,122,0.18914728682170542,523
NORMANDALE HILLS ELEMENTARY,BLOOMINGTON PUBLIC SCHOOL DISTRICT,2705790,5-Title I schoolwide school,44.831,-93.3466,467,206,0.4411134903640257,261
NORMANDY PARK EDUCATION CENTER,WHITE BEAR LAKE SCHOOL DISTRICT,2742360,5-Title I schoolwide school,45.0638,-92.9928,161,45,0.2795031055900621,116
NORTH BRANCH EARLY CHILDHOOD,NORTH BRANCH PUBLIC SCHOOLS,2723820,2-Title I targeted assistance school,45.508982,-92.969833,41,4,0.0975609756097561,37
NORTH BRANCH MIDDLE,NORTH BRANCH PUBLIC SCHOOLS,2723820,2-Title I targeted assistance school,45.508,-92.9673,833,111,0.1332533013205282,722
NORTH BRANCH SENIOR HIGH,NORTH BRANCH PUBLIC SCHOOLS,2723820,2-Title I targeted assistance school,45.501829,-92.969015,846,86,0.1016548463356974,760
NORTH COMMUNITY SENIOR HIGH,Minneapolis Public School District,2721240,5-Title I schoolwide school,44.994017,-93.300234,382,376,0.9842931937172775,6
NORTH EDUCATION CENTER ACADEMY,INTERMEDIATE SCHOOL DISTRICT 287,2700025,6-Not a Title I school,45.053694,-93.386604,74,68,0.918918918918919,6
NORTH ELEMENTARY SCHOOL,ST. PETER PUBLIC SCHOOL DISTRICT,2733870,2-Title I targeted assistance school,44.3356,-93.9644,460,131,0.2847826086956522,329
NORTH JUNIOR HIGH,ST. CLOUD PUBLIC SCHOOL DISTRICT,2733510,5-Title I schoolwide school,45.5738,-94.192,853,533,0.6248534583821805,320
NORTH LAKES ACADEMY ELEMENTARY,NORTH LAKES ACADEMY,2700177,2-Title I targeted assistance school,45.288475,-93.013438,176,15,0.08522727272727272,161
NORTH LAKES ACADEMY MIDDLE SCHOOL,NORTH LAKES ACADEMY,2700177,2-Title I targeted assistance school,45.28745,-92.986643,186,20,0.10752688172043011,166
